time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	suav_7_x	suav_7_y	suav_7_z	suav_8_x	suav_8_y	suav_8_z	suav_9_x	suav_9_y	suav_9_z	suav_10_x	suav_10_y	suav_10_z	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	3	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	4	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	5	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
192.62	21	17	5	6	-1055.219	-26.03001	0.3477455	-599.8927	-200.0427	0.3555215	-699.8932	-116.1307	0.3916449	-1102.54	150.0457	0.3366946	-1009.471	-209.7148	0.3340584	-601.2522	99.80134	0.2725771	-899.8641	-0.00182059	0.3561511	0	0	0	0	0	0	0	0	0	0	0	0	-1003.428	-65.90718	40.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
